State / Union territory (UT),Area (km2),National Share (%)
Rajasthan,342239,10.55
Madhya Pradesh,308350,9.37
Maharashtra,307713,9.36
Uttar Pradesh,240928,7.33
Gujarat,196024,5.96
Karnataka,191791,5.83
Andhra Pradesh,162970,4.87
Odisha,155707,4.73
Chhattisgarh,135191,4.11
Tamil Nadu,130058,3.95
Telangana,112077,3.49
Bihar,94163,2.86
West Bengal,88752,2.7
Arunachal Pradesh,83743,2.54
Jharkhand,79714,2.42
Assam,78438,2.38
Ladakh,59146,1.8
Himachal Pradesh,55673,1.7
Uttarakhand,53483,1.62
Punjab,50362,1.53
Haryana,44212,1.34
Jammu and Kashmir,42241,1.28
Kerala,38863,1.18
Meghalaya,22429,0.68
Manipur,22327,0.68
Mizoram,21081,0.64
Nagaland,16579,0.5
Tripura,10486,0.31
Sikkim,7096,0.21
Goa,3702,0.11
Delhi,1483,0.04
Dadra and Nagar Haveli and Daman and Diu,603,0.01
Puducherry,492,0.01
Chandigarh,114,0.003
